indextitle; SkypeWeb Contact Module
indexadmintitle; Skype Web Module Administration
assignautotitle; Auto-assing Operator
addusertitle; Add new user
operatortitle; Welcome 
name; Name
username; Skype Username
operatorstatus; Operator Status
chatsession; Chat with the Operator
actions; Actions
noskypecontacts; There is no Skype Contacts
addskypecontact; Add Skype Contact
useradmin; User Admin
modify; Modify
delete; Delete
add; Add
selectstatus; Select status
busy; Busy
avaliable; Avaliable
actualstatus; Actual status
avaliableoperator; Avaliable Operator
notavaliableoperator; There are no avaliable operators, try again...
ocupado; Busy


